,0
2020-03-30,2.186
2020-03-31,2.191
2020-04-01,2.195
2020-04-02,2.201
2020-04-03,2.205
2020-04-06,2.209
2020-04-07,2.216
2020-04-08,2.223
2020-04-09,2.23
2020-04-13,2.236
2020-04-14,2.242
2020-04-15,2.248
2020-04-16,2.253
2020-04-17,2.26
2020-04-20,2.268
2020-04-21,2.277
2020-04-22,2.285
2020-04-23,2.291
2020-04-24,2.3
2020-04-27,2.308
2020-04-28,2.314
2020-04-29,2.32
2020-04-30,2.323
2020-05-01,2.327
2020-05-04,2.331
2020-05-05,2.335
2020-05-06,2.339
2020-05-07,2.341
2020-05-08,2.344
2020-05-11,2.347
2020-05-12,2.351
2020-05-13,2.352
2020-05-14,2.353
2020-05-15,2.353
2020-05-18,2.355
2020-05-19,2.356
2020-05-20,2.356
2020-05-21,2.356
2020-05-22,2.356
2020-05-26,2.355
2020-05-27,2.351
2020-05-28,2.351
2020-05-29,2.35
2020-06-01,2.351
2020-06-02,2.35
2020-06-03,2.35
2020-06-04,2.349
2020-06-05,2.348
2020-06-08,2.347
2020-06-09,2.344
2020-06-10,2.341
2020-06-11,2.336
2020-06-12,2.333
2020-06-15,2.33
2020-06-16,2.326
2020-06-17,2.322
2020-06-18,2.318
2020-06-19,2.314
2020-06-22,2.311
2020-06-23,2.307
2020-06-24,2.303
2020-06-25,2.298
2020-06-26,2.293
2020-06-29,2.289
2020-06-30,2.284
2020-07-01,2.281
2020-07-02,2.277
2020-07-06,2.273
2020-07-07,2.271
2020-07-08,2.267
2020-07-09,2.265
2020-07-10,2.262
2020-07-13,2.259
2020-07-14,2.253
2020-07-15,2.247
2020-07-16,2.241
2020-07-17,2.235
2020-07-20,2.229
2020-07-21,2.224
2020-07-22,2.22
2020-07-23,2.215
2020-07-24,2.212
2020-07-27,2.209
2020-07-28,2.205
2020-07-29,2.201
2020-07-30,2.197
2020-07-31,2.193
2020-08-03,2.185
2020-08-04,2.176
2020-08-05,2.168
2020-08-06,2.158
2020-08-07,2.149
2020-08-10,2.14
2020-08-11,2.13
2020-08-12,2.121
2020-08-13,2.111
2020-08-14,2.1
2020-08-17,2.09
2020-08-18,2.081
2020-08-19,2.072
2020-08-20,2.062
2020-08-21,2.053
2020-08-24,2.041
2020-08-25,2.028
2020-08-26,2.016
2020-08-27,2.006
2020-08-28,1.997
2020-08-31,1.99
2020-09-01,1.98
2020-09-02,1.968
2020-09-03,1.959
2020-09-04,1.953
2020-09-08,1.946
2020-09-09,1.94
2020-09-10,1.933
2020-09-11,1.929
2020-09-14,1.923
2020-09-15,1.917
2020-09-16,1.912
2020-09-17,1.907
2020-09-18,1.901
