,AAPL,MSFT,GOOGL,AMZN,SPY,GOOG
2020-01-02,72.8761,153.9382,68.265,94.9005,302.2057,68.201
2020-01-03,72.1676,152.0214,67.9078,93.7485,299.9173,67.8663
2020-01-06,72.7427,152.4144,69.7179,95.144,301.0615,69.5397
2020-01-07,72.4005,151.0247,69.5832,95.343,300.215,69.4963
2020-01-08,73.5652,153.4303,70.0785,94.5985,301.815,70.044
2020-01-09,75.1278,155.3471,70.8142,95.0525,303.8615,70.8176
2020-01-10,75.2976,154.6283,71.2715,94.158,302.9871,71.3114
2020-01-13,76.9063,156.4876,71.8237,94.565,305.0708,71.7852
2020-01-14,75.8678,155.3854,71.3528,93.472,304.6057,71.3687
2020-01-15,75.5427,156.3917,71.7823,93.101,305.294,71.7837
2020-01-16,76.489,159.2573,72.3289,93.897,307.8336,72.4072
2020-01-17,77.3358,160.1487,73.7933,93.236,308.7917,73.8382
2020-01-21,76.8117,159.5736,73.9294,94.6,308.1871,74.0382
2020-01-22,77.0859,158.8069,74.0252,94.373,308.2243,74.1155
2020-01-23,77.4571,159.7845,74.0511,94.229,308.5778,74.1504
2020-01-24,77.2339,158.1744,73.1274,93.082,305.8336,73.1558
2020-01-27,74.9628,155.5292,71.4097,91.417,300.9312,71.5194
2020-01-28,77.0834,158.5769,72.3459,92.6625,304.0847,72.4501
2020-01-29,78.697,161.0496,72.6551,92.9,303.8336,72.7528
2020-01-30,78.5829,165.5924,72.5329,93.534,304.8196,72.6137
2020-01-31,75.0987,163.1484,71.462,100.436,299.2847,71.5358
2020-02-03,74.8924,167.1258,73.9469,100.21,301.508,74.115
2020-02-04,77.3649,172.627,72.092,102.4835,306.1033,72.1762
2020-02-05,77.9958,172.4162,72.1239,101.9935,309.6382,72.2341
2020-02-06,78.9081,175.991,73.6162,102.5115,310.6801,73.6307
2020-02-07,77.8355,176.2402,73.7728,103.964,309.0243,73.7803
2020-02-10,78.2052,180.8501,75.2467,106.6955,311.3313,75.2492
2020-02-11,77.7334,176.7673,75.3165,107.54,311.8708,75.2547
2020-02-12,79.5793,177.0261,75.7439,108.0,313.8801,75.7275
2020-02-13,79.0127,176.0677,75.4826,107.4935,313.5452,75.5475
2020-02-14,79.0321,177.6395,75.7489,106.7435,314.0476,75.8507
2020-02-18,77.585,179.4412,75.7843,107.7835,313.2383,75.7974
2020-02-19,78.7086,179.9794,76.0552,108.511,314.7359,76.1475
2020-02-20,77.9012,177.2309,75.6621,107.655,313.4429,75.7215
2020-02-21,76.1379,171.6282,73.9898,104.7985,310.215,74.0736
2020-02-24,72.5213,164.2283,70.8176,100.4645,299.9266,70.9054
2020-02-25,70.0648,161.5183,69.1448,98.637,290.8382,69.2524
2020-02-26,71.1763,163.5364,69.3518,98.9795,289.7684,69.4883
2020-02-27,66.5237,152.0138,65.5851,94.215,276.7544,65.743
2020-02-28,66.4847,155.6945,66.7971,94.1875,275.5916,66.8024
2020-03-02,72.6745,166.0543,69.1448,97.6975,287.5265,69.2853
2020-03-03,70.3664,158.097,66.7208,95.4495,279.294,66.9052
2020-03-04,73.6303,163.9016,68.9094,98.7915,291.0335,69.1562
2020-03-05,71.242,159.7884,65.5756,96.2015,281.3591,65.7904
2020-03-06,70.2959,155.2716,64.627,95.0545,276.7079,64.7615
2020-03-09,64.736,144.7485,60.6393,90.0305,255.0985,60.6291
2020-03-10,69.3984,154.647,63.601,94.591,268.2986,63.8627
2020-03-11,66.9882,147.6412,60.3954,91.043,255.2195,60.6216
2020-03-12,60.3728,133.6391,55.4402,83.8305,230.8008,55.6089
2020-03-13,67.606,152.6385,60.5635,89.25,250.5311,60.8371
2020-03-16,58.9087,130.141,53.5175,84.4575,223.117,54.0837
2020-03-17,61.4989,140.8564,55.7649,90.392,235.1636,55.8528
2020-03-18,59.9934,134.9269,54.4247,91.5,223.2566,54.7056
2020-03-19,59.5337,137.1469,55.4462,94.0465,223.731,55.6279
2020-03-20,55.7542,131.9958,53.2786,92.3045,214.0891,53.4846
2020-03-23,54.5697,130.6792,52.5763,95.1415,208.6152,52.7016
2020-03-24,60.0445,142.5574,56.3609,97.005,227.5164,56.584
2020-03-25,59.7137,141.1927,54.9449,94.292,230.9224,54.9895
2020-03-26,62.856,150.0245,58.0024,97.7745,244.4059,57.9452
2020-03-27,60.2536,143.8644,55.3759,95.005,237.1261,55.3994
2020-03-30,61.9731,153.9839,57.1739,98.1975,244.8269,57.2005
2020-03-31,61.8467,151.5621,57.954,97.486,241.1777,57.9981
2020-04-01,58.5925,146.1804,54.9689,95.385,230.3235,55.1456
2020-04-02,59.5702,149.2076,55.7135,95.9415,235.6383,55.9047
2020-04-03,58.7141,147.8334,54.5,95.3295,232.2324,54.7595
2020-04-06,63.8362,158.8274,59.0134,99.8795,247.8306,59.2006
2020-04-07,63.0968,157.1168,58.9819,100.58,248.0832,59.1802
2020-04-08,64.7117,158.6929,60.2009,102.15,256.411,60.3657
2020-04-09,65.1787,158.7025,60.1795,102.138,260.3128,60.4241
2020-04-13,66.458,159.0581,60.371,108.4435,257.9362,60.7289
2020-04-14,69.8143,166.9288,63.1052,114.166,265.5434,63.306
2020-04-15,69.1771,165.1797,62.7097,115.384,259.9011,62.9689
2020-04-16,69.7268,170.1386,62.7162,120.4095,261.155,63.0187
2020-04-17,68.7807,171.6378,63.792,118.75,268.2102,64.0053
2020-04-20,67.353,168.2358,62.9017,119.6805,263.4849,63.1753
2020-04-21,65.2711,161.278,60.4583,116.406,255.4846,60.668
2020-04-22,67.1511,166.7558,62.7651,118.1745,261.155,63.0058
2020-04-23,66.8909,164.7377,63.4015,119.9725,261.1363,63.6592
2020-04-24,68.822,167.7457,63.6723,120.511,264.7762,63.8088
2020-04-27,68.8707,167.2652,63.386,118.8,268.5938,63.6377
2020-04-28,67.7543,163.1904,61.4773,115.704,267.3587,61.5324
2020-04-29,69.9797,170.5134,66.9432,118.6355,274.3578,66.9097
2020-04-30,71.456,172.224,67.1687,123.7,271.8033,67.2678
2020-05-01,70.3056,167.7649,65.7033,114.302,264.6077,65.8687
2020-05-04,71.3004,171.8684,65.9816,115.7995,265.3376,66.1775
2020-05-05,72.3705,173.7136,67.2844,115.89,267.7891,67.39
2020-05-06,73.1172,175.4242,67.1053,117.563,265.9739,67.2
2020-05-07,73.8736,176.4429,68.2949,118.3805,269.1833,68.4599
2020-05-08,75.6319,177.4808,69.046,118.9805,273.6373,69.2484
2020-05-11,76.822,179.4605,70.0062,120.45,273.6934,69.9911
2020-05-12,75.944,175.3954,68.5892,117.8475,268.2383,68.6185
2020-05-13,75.0271,172.743,67.25,118.396,263.4942,67.3012
2020-05-14,75.488,173.4925,67.6754,119.4425,266.6476,67.6404
2020-05-15,75.0417,176.02,68.4834,120.489,267.8733,68.4913
2020-05-18,76.8098,177.7018,69.0879,121.313,276.0327,69.0275
2020-05-19,76.3659,176.4717,68.5503,122.4665,273.1975,68.506
2020-05-20,77.8511,178.9195,70.284,124.897,277.8386,70.1637
2020-05-21,77.2707,176.7704,70.1638,122.337,275.9204,69.9682
2020-05-22,77.7682,176.8475,70.4875,121.844,276.4444,70.3482
2020-05-26,77.2414,174.978,70.893,121.093,279.8503,70.6774
2020-05-27,77.578,175.2093,70.8386,120.5195,284.0142,70.7183
2020-05-28,77.6121,174.8141,70.7368,120.055,283.4902,70.663
2020-05-29,77.5365,176.597,71.499,122.1185,284.7534,71.271
2020-06-01,78.49,176.1922,71.5663,123.552,285.9044,71.4156
